Device:,rrqm/s,wrqm/s,r/s,w/s,rMB/s,wMB/s,avgrq-sz,avgqu-sz,await,r_await,w_await,svctm,%util
dm-1,0,0,0,1.2,0,0.01,10.5,0.01,9.33,0,9.33,3.17,0.38
sda,0,0,0.2,0,0,0,8,0,14,14,0,14,0.28
dm-0,0,0,0.2,0,0,0,8,0,14,14,0,14,0.28
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0,0,0.6,0,0,8,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0.6,0,0,8,0,0,0,0,0,0
sda,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0.2,0.4,0.8,0,0,10.67,0.01,12.33,37,0,6.17,0.74
dm-0,0,0,0.4,0,0,0,8,0.01,37,37,0,18.5,0.74
dm-1,0,0,0,1,0,0,9.6,0,0,0,0,0,0
sda,0,0.2,0.2,0.8,0,0,11.2,0.06,59,295,0,59,5.9
dm-0,0,0,0.2,0,0,0,8,0.06,295,295,0,295,5.9
dm-1,0,0,0,1,0,0,9.6,0,0,0,0,0,0
sda,1.4,0,0.2,0.4,0.01,0,26,0.01,11,32,0.5,11,0.66
dm-0,0,0,1.6,0,0.01,0,8,0.05,32,32,0,4,0.64
dm-1,0,0,0,0.2,0,0,14,0,1,0,1,1,0.02
sda,0.4,0,1.2,0.2,0.01,0,11.43,0.07,53.43,58,26,33,4.62
dm-0,0,0,1.6,0,0.01,0,8,0.11,70.25,70.25,0,25.62,4.1
dm-1,0,0,0,0.2,0,0,16,0.01,26,0,26,26,0.52
sda,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0.2,0.8,0.2,0,0,9.6,0.13,126.8,158.5,0,89.2,8.92
dm-0,0,0,0.8,0,0,0,8,0.13,158.5,158.5,0,111.5,8.92
dm-1,0,0,0,0.4,0,0,8,0,0,0,0,0,0
sda,1.4,0.2,0.2,1,0.01,0,18.67,0.01,12.33,74,0,12.33,1.48
dm-0,0,0,1.6,0,0.01,0,8,0.12,74,74,0,9.25,1.48
dm-1,0,0,0,1.2,0,0,8,0,0,0,0,0,0
sda,0.2,0,0.6,0.8,0,0,11.43,0.02,12.71,29.67,0,8.29,1.16
dm-0,0,0,0.8,0,0,0,8,0.03,32.25,32.25,0,14.5,1.16
dm-1,0,0,0,0.8,0,0,12,0,0,0,0,0,0
sda,0,0,0,0.4,0,0,7,0,0.5,0,0.5,0.5,0.02
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0.2,0,0,14,0,1,0,1,1,0.02
sda,0.4,0,0.8,0,0,0,12,0.04,54.75,54.75,0,36.25,2.9
dm-0,0,0,1.2,0,0,0,8,0.09,72.17,72.17,0,24.17,2.9
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0,0.2,0,0,0,8,0.01,65,65,0,65,1.3
dm-0,0,0,0.2,0,0,0,8,0.01,65,65,0,65,1.3
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,1.8,0,0.6,0.2,0.01,0,30,0.01,12.25,16.33,0,9.75,0.78
dm-0,0,0,2.4,0,0.01,0,8,0.05,22.67,22.67,0,3.25,0.78
dm-1,0,0,0,0.2,0,0,24,0,0,0,0,0,0
sda,0,0,0,1.2,0,0.01,10.67,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,1.2,0,0.01,10.67,0,0,0,0,0,0
sda,1.2,0,1.6,0.8,0.01,0,13.33,0.04,18.5,27.75,0,11.08,2.66
dm-0,0,0,2.8,0,0.01,0,8,0.08,30.07,30.07,0,9.5,2.66
dm-1,0,0,0,0.8,0,0,12,0,0,0,0,0,0
sda,0,0,0,0.6,0,0,7.33,0,0.33,0,0.33,0.33,0.02
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0.4,0,0,11,0,0.5,0,0.5,0.5,0.02
sda,0,0,0.2,0,0,0,8,0,19,19,0,19,0.38
dm-0,0,0,0.2,0,0,0,8,0,19,19,0,19,0.38
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,2.8,0,1.2,0,0.02,0,26.67,0.02,14,14,0,9.67,1.16
dm-0,0,0,4,0,0.02,0,8,0.08,20.8,20.8,0,2.9,1.16
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0,0,0.8,0,0,12,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0.8,0,0,12,0,0,0,0,0,0
sda,0,0.2,0.2,1.4,0,0.01,11,0,2.12,17,0,2.12,0.34
dm-0,0,0,0.2,0,0,0,8,0,17,17,0,17,0.34
dm-1,0,0,0,1.6,0,0.01,10,0,0,0,0,0,0
sda,0,0,0.4,0.4,0,0,7.5,0.01,8.25,16,0.5,4.25,0.34
dm-0,0,0,0.4,0,0,0,8,0.01,16,16,0,8,0.32
dm-1,0,0,0,0.2,0,0,14,0,1,0,1,1,0.02
sda,0,0,0.2,0,0,0,8,0.01,29,29,0,29,0.58
dm-0,0,0,0.2,0,0,0,8,0.01,29,29,0,29,0.58
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0,0,0.2,0,0,8,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0.2,0,0,8,0,0,0,0,0,0
sda,0.2,0,0.4,0,0,0,12,0.01,20,20,0,20,0.8
dm-0,0,0,0.6,0,0,0,8,0.01,19.33,19.33,0,13.33,0.8
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0,0,0.8,0,0,10,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0.8,0,0,10,0,0,0,0,0,0
sda,0.4,0.2,0.4,0.8,0,0,13.33,0.01,5.67,17,0,5.67,0.68
dm-0,0,0,0.8,0,0,0,8,0.01,17,17,0,8.5,0.68
dm-1,0,0,0,1,0,0,9.6,0,0,0,0,0,0
sda,0,0,0,0.8,0,0,7.5,0,0.5,0,0.5,0.5,0.04
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0.6,0,0,10,0,0.67,0,0.67,0.67,0.04
sda,2.4,0,0.6,0.2,0.01,0,36,0.01,17,15,23,14.25,1.14
dm-0,0,0,3,0,0.01,0,8,0.05,15.27,15.27,0,2.27,0.68
dm-1,0,0,0,0.2,0,0,24,0,23,0,23,23,0.46
sda,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0.8,0,0.6,0,0.01,0,18.67,0.14,241,241,0,133,7.98
dm-0,0,0,1.4,0,0.01,0,8,0.32,226.57,226.57,0,57,7.98
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0.2,0,1,0,0,9.6,0,1.2,0,1.2,0.4,0.04
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,1.2,0,0,8,0,1,0,1,0.33,0.04
sda,0.6,0,0.6,0.8,0,0,13.71,0.03,18.29,42.67,0,7.29,1.02
dm-0,0,0,1.2,0,0,0,8,0.05,41.17,41.17,0,8.5,1.02
dm-1,0,0,0,0.8,0,0,12,0,0,0,0,0,0
sda,0,0.2,0.2,0.8,0,0,5.8,0,4.6,23,0,4.6,0.46
dm-0,0,0,0.2,0,0,0,8,0,23,23,0,23,0.46
dm-1,0,0,0,0.8,0,0,5.25,0,0,0,0,0,0
sda,0,0,0,0.2,0,0,8,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0.2,0,0,8,0,0,0,0,0,0
sda,0,0,0,0.2,0,0,16,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0.2,0,0,16,0,0,0,0,0,0
sda,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0.6,0,0.4,0.8,0,0,14.67,0.01,5.67,17,0,2.83,0.34
dm-0,0,0,1,0,0,0,8,0.02,17,17,0,3.4,0.34
dm-1,0,0,0,0.8,0,0,12,0,0,0,0,0,0
sda,0.2,0,0.4,0.8,0,0,12,0.01,4.67,14,0,2.33,0.28
dm-0,0,0,0.6,0,0,0,8,0.01,14,14,0,4.67,0.28
dm-1,0,0,0,0.8,0,0,12,0,0,0,0,0,0
sda,1.4,0,0.2,0.6,0.01,0,19,0.01,9,28,2.67,9,0.72
dm-0,0,0,1.6,0,0.01,0,8,0.04,28,28,0,3.5,0.56
dm-1,0,0,0,0.4,0,0,6,0,4,0,4,4,0.16
sda,0,0,0.4,0,0,0,8,0.04,104.5,104.5,0,104.5,4.18
dm-0,0,0,0.4,0,0,0,8,0.04,104.5,104.5,0,104.5,4.18
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0,0,0.4,0,0,8,0,1,0,1,1,0.04
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0.4,0,0,8,0,1,0,1,1,0.04
sda,0.4,0,0.4,0,0,0,16,0.01,28.5,28.5,0,28.5,1.14
dm-0,0,0,0.8,0,0,0,8,0.02,26.25,26.25,0,14.25,1.14
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0,0.2,1,0,0.01,13.33,0.01,4.33,10,3.2,4.33,0.52
dm-0,0,0,0.2,0,0,0,8,0,10,10,0,10,0.2
dm-1,0,0,0,1,0,0.01,14.4,0,3.2,0,3.2,3.2,0.32
sda,0,0.2,0.4,0.8,0,0,10.67,0.38,314,16,463,158.33,19
dm-0,0,0,0.4,0,0,0,8,0.01,16,16,0,16,0.64
dm-1,0,0,0,1,0,0,9.6,0.55,553.4,0,553.4,183.6,18.36
sda,1.8,0,0.8,0.4,0.01,0,20.33,0.02,15.67,23.5,0,10.5,1.26
dm-0,0,0,2.6,0,0.01,0,8,0.07,26,26,0,4.85,1.26
dm-1,0,0,0,0.2,0,0,18,0,0,0,0,0,0
sda,0,0,0.4,0,0,0,8,0.01,25.5,25.5,0,14,0.56
dm-0,0,0,0.4,0,0,0,8,0.01,25.5,25.5,0,14,0.56
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0,0,0.2,0,0,8,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0.2,0,0,8,0,0,0,0,0,0
sda,0,0,1,0.4,0,0,8,0.04,26.57,37.2,0,11.71,1.64
dm-0,0,0,1,0,0,0,8,0.04,37.2,37.2,0,16.4,1.64
dm-1,0,0,0,0.4,0,0,8,0,0,0,0,0,0
sda,0,0,0,0.8,0,0,10,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0.8,0,0,10,0,0,0,0,0,0
sda,0.6,0.2,1.4,0.6,0.01,0.01,14.4,0.07,33.7,48.14,0,19.4,3.88
dm-0,0,0,2,0,0.01,0,8,0.12,60.9,60.9,0,19.4,3.88
dm-1,0,0,0,0.8,0,0.01,16,0,0,0,0,0,0
sda,0,0.2,0,0.6,0,0,11.67,0,0.33,0,0.33,0.33,0.02
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0.6,0,0,11.67,0,0.33,0,0.33,0.33,0.02
sda,0.6,0,0.4,0,0,0,20,0.01,32.5,32.5,0,21.5,0.86
dm-0,0,0,1,0,0,0,8,0.03,34.6,34.6,0,8.6,0.86
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,1.6,0,1,0,0.01,0,20.8,0.01,9.4,9.4,0,7.2,0.72
dm-0,0,0,2.6,0,0.01,0,8,0.04,16.31,16.31,0,2.77,0.72
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0.2,0.4,1.4,0,0.01,9.78,0.02,8.67,39,0,4.33,0.78
dm-0,0,0,0.4,0,0,0,8,0.02,39,39,0,19.5,0.78
dm-1,0,0,0,1.6,0,0.01,9,0,0,0,0,0,0
sda,1,0,0,0.8,0,0,12,0.01,0,0,0,9.25,0.74
dm-0,0,0,1.4,0,0.01,0,8,0.05,15.86,15.86,0,5.43,0.76
dm-1,0,0,0,0.8,0,0,12,0,0,0,0,0,0
sda,0.4,0.2,0.8,1,0.01,0,14.22,0.01,15.44,34.5,0.2,4.67,0.84
dm-0,0,0,0.8,0,0,0,8,0.03,73,73,0,10,0.8
dm-1,0,0,0,1,0,0,8,0,0.2,0,0.2,0.2,0.02
sda,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0.6,0,0.6,0.2,0,0,16,0.03,37.75,50.33,0,25.5,2.04
dm-0,0,0,1.2,0,0,0,8,0.06,50.33,50.33,0,17,2.04
dm-1,0,0,0,0.2,0,0,16,0,0,0,0,0,0
sda,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0.6,0,0.8,0.8,0.01,0,13,0.09,57.38,114,0.75,28.62,4.58
dm-0,0,0,1.4,0,0.01,0,8,0.16,112.14,112.14,0,32.57,4.56
dm-1,0,0,0,0.8,0,0,12,0,0.75,0,0.75,0.25,0.02
sda,0,0,0,1.2,0,0.01,10.67,0.68,569.5,0,569.5,97.5,11.7
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,1.2,0,0.01,10.67,0.68,569.5,0,569.5,97.5,11.7
sda,2,0,0.6,0.6,0.01,0,21.17,0.08,65.5,131,0,62.67,7.52
dm-0,0,0,2.6,0,0.01,0,8,0.59,227.46,227.46,0,28.92,7.52
dm-1,0,0,0,0.4,0,0,11.5,0,0,0,0,0,0
sda,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0.4,0,0.6,0,0,0,13.33,0.09,148,148,0,141.67,8.5
dm-0,0,0,1,0,0,0,8,0.18,176.4,176.4,0,85,8.5
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0,1,1,0,0.01,10.4,0.31,153.9,282,25.8,87.2,17.44
dm-0,0,0,1,0,0,0,8,0.28,282,282,0,148.6,14.86
dm-1,0,0,0,1,0,0.01,12.8,0.03,25.8,0,25.8,25.8,2.58
sda,0,0.2,0,0.8,0,0,12,0,1,0,1,0.25,0.02
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,1,0,0,9.6,0,1,0,1,0.2,0.02
sda,2.8,0.2,0.4,0.6,0.01,0,31.8,0.01,8.6,21.5,0,8.6,0.86
dm-0,0,0,3.2,0,0.01,0,8,0.07,21.5,21.5,0,2.69,0.86
dm-1,0,0,0,0.6,0,0,10.33,0,0,0,0,0,0
sda,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,1.4,0,1,0.2,0.01,0,17.33,0.05,40.67,48.8,0,20.67,2.48
dm-0,0,0,2.4,0,0.01,0,8,0.07,27.92,27.92,0,10.33,2.48
dm-1,0,0,0,0.2,0,0,8,0,0,0,0,0,0
sda,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0.2,0,0.8,0,0,10,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,1,0,0,8,0,0,0,0,0,0
sda,0,0.2,0,0.8,0,0,12,0,0.25,0,0.25,0.25,0.02
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,1,0,0,9.6,0,0.2,0,0.2,0.2,0.02
sda,1.8,0.2,0.6,1.2,0.01,0,15.67,0.04,19.44,58,0.17,16.11,2.9
dm-0,0,0,2.4,0,0.01,0,8,0.17,72,72,0,12,2.88
dm-1,0,0,0,1.2,0,0,7.5,0,0.17,0,0.17,0.17,0.02
sda,0,0,0,0.2,0,0,8,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0.2,0,0,8,0,0,0,0,0,0
sda,0.2,0,0.4,0,0,0,12,0,4.5,4.5,0,2.5,0.1
dm-0,0,0,0.6,0,0,0,8,0,4.33,4.33,0,1.67,0.1
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0.6,0,1,1,0.01,0.01,12,0.06,28,55.6,0.4,17.2,3.44
dm-0,0,0,1.6,0,0.01,0,8,0.12,75.62,75.62,0,21.25,3.4
dm-1,0,0,0,1,0,0.01,11.2,0,0.4,0,0.4,0.4,0.04
sda,0,0,0,0.8,0,0,12,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0.8,0,0,12,0,0,0,0,0,0
sda,1.4,0,0.8,0.4,0.01,0,15.33,0.09,78.83,117.75,1,28.83,3.46
dm-0,0,0,2.2,0,0.01,0,8,0.18,79.64,79.64,0,15.55,3.42
dm-1,0,0,0,0.2,0,0,4,0,2,0,2,2,0.04
sda,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,2.2,0.2,1.6,0.4,0.01,0,19.2,0.08,42.3,52.88,0,23.1,4.62
dm-0,0,0,3.8,0,0.01,0,8,0.22,58.58,58.58,0,12.16,4.62
dm-1,0,0,0,0.6,0,0,13.33,0,0,0,0,0,0
sda,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,1.4,0,0.2,0.8,0.01,0,22.4,0.01,6.2,31,0,6.2,0.62
dm-0,0,0,1.6,0,0.01,0,8,0.05,31,31,0,3.88,0.62
dm-1,0,0,0,0.8,0,0,12,0,0,0,0,0,0
sda,0,0,0,0.8,0,0,12,0,4.5,0,4.5,1.5,0.12
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0.8,0,0,12,0,4.5,0,4.5,1.5,0.12
sda,1.4,0,0.2,0.6,0.01,0,21.75,0.31,390.5,1558,1.33,390.5,31.24
dm-0,0,0,1.6,0,0.01,0,8,2.49,1558,1558,0,194.75,31.16
dm-1,0,0,0,0.4,0,0,11.5,0,2,0,2,2,0.08
sda,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0,0,0,0,0,0,0.37,0,0,0,0,18.48
dm-0,0,0,0.4,0,0,0,8,0.37,0,0,0,462,18.48
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,1,0,1,0.4,0.01,0,13.71,0.52,632.57,885.6,0,206.71,28.94
dm-0,0,0,1.6,0,0.01,0,8,0.71,673.5,673.5,0,180.88,28.94
dm-1,0,0,0,0.4,0,0,8,0,0,0,0,0,0
sda,0,0,0,1,0,0.01,11.2,0.03,33,0,33,31.8,3.18
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,1,0,0.01,11.2,0.03,33,0,33,31.8,3.18
sda,0.8,0.2,0.4,0.8,0,0,16,0.13,112.33,298,19.5,100.17,12.02
dm-0,0,0,1.2,0,0,0,8,0.25,205.67,205.67,0,95.83,11.5
dm-1,0,0,0,1,0,0,9.6,0.02,15.6,0,15.6,5.2,0.52
sda,4.6,0,2,0.2,0.02,0,22.45,1.08,394.55,404.8,292,237.73,52.3
dm-0,0,0,7,0,0.03,0,8,2.18,249.26,249.26,0,74.69,52.28
dm-1,0,0,0,0.2,0,0,15,0.13,292,0,292,654,13.08
sda,0,0,0.4,0.2,0,0,16,0.12,563,561,567,68.33,4.1
dm-0,0,0,0,0,0,0,0,0.24,0,0,0,0,4.08
dm-1,0,0,0,0,0,0,0,0.04,0,0,0,0,4.1
sda,0,0,1.8,0.2,0.01,0,8,0.16,81.3,90.33,0,35.5,7.1
dm-0,0,0,1.8,0,0.01,0,8,0.16,90.33,90.33,0,39.44,7.1
dm-1,0,0,0,0.2,0,0,8,0,0,0,0,0,0
sda,0,0,0.6,0,0,0,8,0.31,521,521,0,442.67,26.56
dm-0,0,0,0.6,0,0,0,8,0.31,521,521,0,442.67,26.56
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0.2,0,1.2,0,0.01,9.33,0,1.33,0,1.33,1.33,0.16
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,1.4,0,0.01,8,0,1.14,0,1.14,1.14,0.16
sda,0.2,0.2,0.2,0.6,0,0.01,18,0.06,74.5,298,0,74.5,5.96
dm-0,0,0,0.4,0,0,0,8,0.12,298,298,0,149,5.96
dm-1,0,0,0,0.8,0,0.01,14,0,0,0,0,0,0
sda,0,0,0,0.6,0,0,16.67,0,0.33,0,0.33,0.33,0.02
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0.4,0,0,25,0,0.5,0,0.5,0.5,0.02
sda,0.2,0,0.2,0,0,0,16,0.01,26,26,0,26,0.52
dm-0,0,0,0.4,0,0,0,8,0.01,26,26,0,13,0.52
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0.2,0,1,0,0,9.6,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,1.2,0,0,8,0,0,0,0,0,0
sda,0.2,0,0.4,0,0,0,12,0.01,35,35,0,35,1.4
dm-0,0,0,0.6,0,0,0,8,0.02,40.33,40.33,0,23.33,1.4
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0.2,0,0.2,1,0,0.01,12,0,2.5,15,0,2.5,0.3
dm-0,0,0,0.4,0,0,0,8,0.01,15,15,0,7.5,0.3
dm-1,0,0,0,1,0,0.01,11.2,0,0,0,0,0,0
sda,0,0,1,1.2,0,0.01,9.45,0.13,60.91,134,0,33.82,7.44
dm-0,0,0,1,0,0,0,8,0.13,134,134,0,74.4,7.44
dm-1,0,0,0,1.2,0,0.01,10.67,0,0,0,0,0,0
sda,0,0,0,1.2,0,0.01,11.5,0,0.33,0,0.33,0.17,0.02
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,1,0,0.01,13.8,0,0.4,0,0.4,0.2,0.02
sda,0,0,1.8,0,0.01,0,8,0.07,38.44,38.44,0,17.22,3.1
dm-0,0,0,1.8,0,0.01,0,8,0.07,38.44,38.44,0,17.22,3.1
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0,0,0.2,0,0,16,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
dm-1,0,0,0,0.2,0,0,16,0,0,0,0,0,0
sda,0.6,0,0.6,0,0,0,16,0.01,15,15,0,11.33,0.68
dm-0,0,0,1.2,0,0,0,8,0.02,13,13,0,5.67,0.68
dm-1,0,0,0,0,0,0,0,0,0,0,0,0,0
sda,0,0,0,0.8,0,0,12,0,0,0,0,0,0
dm-0,0,0,0,0,0,0,0,0,0,0,0,0,0
